FROM STATION ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,ZIP
298,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.95600355,-87.68016145,"(41.95600355078549, -87.68016144633293)",60618
88,Racine Ave & Randolph St,19,19,In Service,41.884069,-87.656853,"(41.884069, -87.656853)",60607
211,St. Clair St & Erie St,19,19,In Service,41.89434514,-87.62279838,"(41.89434513742426, -87.62279838323593)",60611
162,Damen Ave & Wellington Ave,15,15,In Service,41.93588,-87.67842,"(41.93588, -87.67842)",60618
112,Green St & Washington Blvd,11,11,In Service,41.88318131,-87.64872462,"(41.88318130597391, -87.64872461557388)",60607
328,Ellis Ave & 58th St,19,19,In Service,41.788746,-87.601334,"(41.788746, -87.601334)",60637
148,State St & 33rd St,15,15,In Service,41.834734,-87.625813,"(41.834734, -87.625813)",60612
173,Mies van der Rohe Way & Chicago Ave,15,15,In Service,41.89694463,-87.62175769,"(41.896944626370825, -87.62175768613815)",60611
345,Lake Park Ave & 56th St,19,19,In Service,41.793242,-87.587782,"(41.793242, -87.587782)",60637
282,Halsted St & Maxwell St,15,15,In Service,41.864883,-87.647071,"(41.864883, -87.647071)",60608
76,DuSable Lake Shore Dr & Monroe St,39,39,In Service,41.880958,-87.616743,"(41.880958, -87.616743)",60601
344,Ravenswood Ave & Lawrence Ave,47,47,In Service,41.96909,-87.674237,"(41.96909, -87.674237)",60612
202,Halsted St & 18th St,15,15,In Service,41.85750568,-87.64599145,"(41.85750568031716, -87.64599144458771)",60616
206,Halsted St & Archer Ave,15,15,In Service,41.847203,-87.646795,"(41.847203, -87.646795)",60608
261,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)",60612
238,Wolcott (Ravenswood) Ave & Montrose Ave,15,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)",60640
264,Stetson Ave & South Water St,19,19,In Service,41.886835,-87.62232,"(41.886835, -87.62232)",60601
19,Throop St & Taylor St,15,15,In Service,41.868968,-87.659141,"(41.868968, -87.659141)",60607
196,Cityfront Plaza Dr & Pioneer Ct,31,31,In Service,41.890573,-87.622072,"(41.890573, -87.622072)",60611
334,DuSable Lake Shore Dr & Belmont Ave,19,19,In Service,41.940775,-87.639192,"(41.940775, -87.639192)",60657
208,Laflin St & Cullerton St,15,15,In Service,41.85491458,-87.66355991,"(41.85491457576575, -87.66355991363525)",60608
5,State St & Harrison St,23,23,In Service,41.874053,-87.627716,"(41.874053, -87.627716)",60605
215,Damen Ave & Madison St,15,15,In Service,41.88137,-87.67493,"(41.88137, -87.67493)",60612
244,Ravenswood Ave & Irving Park Rd,19,19,In Service,41.95469,-87.67393,"(41.95469, -87.67393)",60613
